Date,DATE1,sum_Size,sum_Summit,Success_rate,Merged_Precipitation,Merged_Snowfall,Snow_depth,Temp_observed,Fog
2015-06-15 00:00:00,2015-06-15 00:00:00,87,66,0.75862068965517238,0,,,,
2009-07-17 00:00:00,,171,125,0.73099415204678364,,,,,
2011-07-09 00:00:00,,157,83,0.5286624203821656,,,,,
2010-06-18 00:00:00,2010-06-18 00:00:00,125,51,0.408,0.3,,,,
2008-07-27 00:00:00,2008-07-27 00:00:00,112,92,0.8214285714285714,0.01,0,31,,
2008-06-29 00:00:00,2008-06-29 00:00:00,128,91,0.7109375,,0,,,
2009-07-25 00:00:00,,117,70,0.59829059829059827,,,,,
2007-07-01 00:00:00,,115,76,0.66086956521739126,,,,,
2009-07-09 00:00:00,,115,98,0.85217391304347823,,,,,
2009-08-21 00:00:00,,96,66,0.6875,,,,,
2009-07-18 00:00:00,,201,150,0.746268656716418,,,,,
2015-06-20 00:00:00,2015-06-20 00:00:00,149,88,0.59060402684563762,0,,,,
2015-06-25 00:00:00,2015-06-25 00:00:00,139,94,0.67625899280575541,0,,,,
2011-06-16 00:00:00,2011-06-16 00:00:00,99,54,0.54545454545454541,0.07,0,182,31,
2011-06-03 00:00:00,2011-06-03 00:00:00,103,49,0.47572815533980578,0.02,0,209,31,
2011-07-08 00:00:00,2011-07-08 00:00:00,225,163,0.72444444444444445,0,0,118,32,
2007-06-24 00:00:00,2007-06-24 00:00:00,84,49,0.58333333333333337,0.07,0,48,34,
2006-06-17 00:00:00,2006-06-17 00:00:00,141,117,0.82978723404255317,0.2,0,78,34,1
2014-06-21 00:00:00,2014-06-21 00:00:00,164,105,0.6402439024390244,0,,101,34,
2012-07-23 00:00:00,2012-07-23 00:00:00,169,104,0.61538461538461542,0.05,0,23,34,
2011-07-22 00:00:00,2011-07-22 00:00:00,228,149,0.65350877192982459,0,0,93,35,
2009-07-13 00:00:00,2009-07-13 00:00:00,133,97,0.72932330827067671,0.42,0,20,35,
2011-07-23 00:00:00,2011-07-23 00:00:00,179,91,0.50837988826815639,0,0,90,36,
2011-06-20 00:00:00,2011-06-20 00:00:00,117,67,0.57264957264957261,0.31,0,170,36,
2009-08-07 00:00:00,2009-08-07 00:00:00,111,78,0.70270270270270274,0.08,0,0,36,
2006-06-09 00:00:00,2006-06-09 00:00:00,126,80,0.63492063492063489,0.29,0,92,37,1
2013-06-21 00:00:00,2013-06-21 00:00:00,124,74,0.59677419354838712,0.67,0,74,37,
2014-06-20 00:00:00,2014-06-20 00:00:00,167,104,0.6227544910179641,0.05,,102,37,
2010-07-05 00:00:00,2010-07-05 00:00:00,117,75,0.64102564102564108,0.22,0,69,38,
2006-07-06 00:00:00,2006-07-06 00:00:00,107,94,0.87850467289719625,0.12,0,14,38,
2014-07-25 00:00:00,2014-07-25 00:00:00,207,100,0.48309178743961351,0.25,,,38,
2014-07-24 00:00:00,2014-07-24 00:00:00,139,82,0.58992805755395683,0.94,,,38,
2013-07-06 00:00:00,2013-07-06 00:00:00,146,97,0.66438356164383561,0,,36,38,
2013-07-11 00:00:00,2013-07-11 00:00:00,99,67,0.6767676767676768,0,0,12,38,
2014-07-04 00:00:00,2014-07-04 00:00:00,169,98,0.57988165680473369,0,,64,38,
2014-06-29 00:00:00,2014-06-29 00:00:00,155,115,0.74193548387096775,0.38,0,81,39,
2008-08-10 00:00:00,2008-08-10 00:00:00,86,71,0.82558139534883723,,0,0,39,
2013-07-05 00:00:00,2013-07-05 00:00:00,160,128,0.8,0.01,,39,40,
2012-07-28 00:00:00,2012-07-28 00:00:00,163,92,0.56441717791411039,0,0,2,40,
2009-06-30 00:00:00,2009-06-30 00:00:00,92,81,0.88043478260869568,0,0,0,40,
2009-06-29 00:00:00,2009-06-29 00:00:00,109,95,0.87155963302752293,0,0,68,40,
2014-05-31 00:00:00,2014-05-31 00:00:00,162,73,0.45061728395061729,0,,146,41,
2009-06-28 00:00:00,2009-06-28 00:00:00,116,73,0.62931034482758619,0,0,70,41,1
2011-08-07 00:00:00,2011-08-07 00:00:00,82,56,0.68292682926829273,0,0,44,41,
2013-07-13 00:00:00,2013-07-13 00:00:00,146,88,0.60273972602739723,0,0,7,41,
2014-06-07 00:00:00,2014-06-07 00:00:00,181,104,0.574585635359116,0,,,41,
2014-05-30 00:00:00,2014-05-30 00:00:00,132,80,0.60606060606060608,0,0,148,41,
2007-08-12 00:00:00,2007-08-12 00:00:00,82,54,0.65853658536585369,0,0,0,41,
2013-07-12 00:00:00,2013-07-12 00:00:00,236,148,0.6271186440677966,0,0,9,41,
2013-07-04 00:00:00,2013-07-04 00:00:00,176,105,0.59659090909090906,0,0,40,42,
2007-06-25 00:00:00,2007-06-25 00:00:00,123,86,0.69918699186991873,0.81,3,51,42,
2013-06-07 00:00:00,2013-06-07 00:00:00,127,54,0.42519685039370081,0,,117,42,
2008-06-15 00:00:00,2008-06-15 00:00:00,95,67,0.70526315789473681,0,0,,42,
2008-07-22 00:00:00,2008-07-22 00:00:00,78,49,0.62820512820512819,0,0,48,42,
2013-08-02 00:00:00,2013-08-02 00:00:00,153,98,0.64052287581699341,0.21,0,0,42,
2006-08-16 00:00:00,2006-08-16 00:00:00,52,51,0.98076923076923073,0,0,0,42,1
2014-07-03 00:00:00,2014-07-03 00:00:00,178,105,0.5898876404494382,0,,72,42,
2012-07-30 00:00:00,2012-07-30 00:00:00,118,90,0.76271186440677963,0,0,0,43,
2011-07-17 00:00:00,2011-07-17 00:00:00,122,81,0.66393442622950816,0.15,0,106,43,
2012-07-21 00:00:00,2012-07-21 00:00:00,131,73,0.5572519083969466,0.1,,25,43,
2011-08-16 00:00:00,2011-08-16 00:00:00,63,54,0.8571428571428571,0,0,20,44,
2014-08-08 00:00:00,2014-08-08 00:00:00,118,90,0.76271186440677963,0,0,0,44,
2007-08-13 00:00:00,2007-08-13 00:00:00,80,56,0.7,0.06,0,0,44,
2008-08-01 00:00:00,2008-08-01 00:00:00,146,102,0.69863013698630139,0.37,0,24,44,
2006-07-15 00:00:00,2006-07-15 00:00:00,193,133,0.689119170984456,0,0,0,45,
2009-06-19 00:00:00,2009-06-19 00:00:00,132,86,0.65151515151515149,0.69,0,0,45,
2006-07-10 00:00:00,2006-07-10 00:00:00,73,56,0.76712328767123283,0.15,0,6,45,
2007-08-03 00:00:00,2007-08-03 00:00:00,136,90,0.66176470588235292,0,0,0,45,
2012-07-22 00:00:00,2012-07-22 00:00:00,90,66,0.73333333333333328,0,0,26,45,
2006-07-28 00:00:00,2006-07-28 00:00:00,150,70,0.46666666666666667,0,0,0,45,
2010-07-18 00:00:00,2010-07-18 00:00:00,128,78,0.609375,0,0,23,46,
2011-08-13 00:00:00,2011-08-13 00:00:00,118,73,0.61864406779661019,0,0,34,46,
2011-08-06 00:00:00,2011-08-06 00:00:00,124,105,0.84677419354838712,0,0,45,46,
2007-07-08 00:00:00,2007-07-08 00:00:00,109,101,0.926605504587156,0,0,0,46,
2006-06-22 00:00:00,2006-06-22 00:00:00,114,103,0.90350877192982459,0,0,67,46,
2011-07-01 00:00:00,2011-07-01 00:00:00,169,91,0.53846153846153844,0.01,,144,46,
2011-08-27 00:00:00,2011-08-27 00:00:00,90,66,0.73333333333333328,0,,0,46,
2014-07-26 00:00:00,2014-07-26 00:00:00,180,125,0.69444444444444442,0,,,46,
2006-08-04 00:00:00,2006-08-04 00:00:00,111,96,0.86486486486486491,0,0,0,46,
2014-08-09 00:00:00,2014-08-09 00:00:00,148,109,0.73648648648648651,0,0,0,46,
2010-06-25 00:00:00,2010-06-25 00:00:00,189,101,0.53439153439153442,0,0,94,47,
2008-06-25 00:00:00,2008-06-25 00:00:00,100,70,0.7,0,0,130,47,
2012-07-13 00:00:00,2012-07-13 00:00:00,204,154,0.75490196078431371,0,0,60,47,
2012-08-01 00:00:00,2012-08-01 00:00:00,98,89,0.90816326530612246,0,0,0,47,
2014-08-23 00:00:00,2014-08-23 00:00:00,80,56,0.7,0,,,47,
2012-07-27 00:00:00,2012-07-27 00:00:00,191,108,0.56544502617801051,0,,4,47,
2011-08-05 00:00:00,2011-08-05 00:00:00,149,113,0.75838926174496646,0,,47,47,
2013-07-08 00:00:00,2013-07-08 00:00:00,129,84,0.65116279069767447,0,0,30,47,
2011-08-08 00:00:00,2011-08-08 00:00:00,87,71,0.81609195402298851,0,0,43,47,
2014-07-10 00:00:00,2014-07-10 00:00:00,82,67,0.81707317073170727,0,,28,47,
2010-07-19 00:00:00,2010-07-19 00:00:00,112,75,0.6696428571428571,0,0,18,47,
2006-06-23 00:00:00,2006-06-23 00:00:00,207,165,0.79710144927536231,0,0,65,47,
2008-07-19 00:00:00,2008-07-19 00:00:00,147,105,0.7142857142857143,0,0,47,47,
2006-07-07 00:00:00,2006-07-07 00:00:00,211,168,0.79620853080568721,0,0,13,48,
2011-07-07 00:00:00,2011-07-07 00:00:00,150,66,0.44,0,,118,48,
2006-08-22 00:00:00,2006-08-22 00:00:00,77,62,0.80519480519480524,0,0,0,48,
2012-07-29 00:00:00,2012-07-29 00:00:00,116,101,0.87068965517241381,0,0,0,48,
2011-07-29 00:00:00,2011-07-29 00:00:00,143,84,0.58741258741258739,0,0,,48,
2014-06-22 00:00:00,2014-06-22 00:00:00,99,70,0.70707070707070707,0,0,96,48,
2008-08-22 00:00:00,2008-08-22 00:00:00,104,51,0.49038461538461542,0.7,0,0,48,
2013-07-22 00:00:00,2013-07-22 00:00:00,121,77,0.63636363636363635,0,0,0,48,
2009-07-12 00:00:00,2009-07-12 00:00:00,147,111,0.75510204081632648,0,0,30,49,
2014-07-06 00:00:00,2014-07-06 00:00:00,146,117,0.80136986301369861,0,0,58,49,
2011-07-27 00:00:00,2011-07-27 00:00:00,79,49,0.620253164556962,0,0,78,49,
2011-08-02 00:00:00,2011-08-02 00:00:00,115,76,0.66086956521739126,0,0,60,49,
2011-07-28 00:00:00,2011-07-28 00:00:00,126,98,0.77777777777777779,0.01,,75,49,
2006-07-14 00:00:00,2006-07-14 00:00:00,155,97,0.62580645161290327,0,0,0,49,
2012-07-20 00:00:00,2012-07-20 00:00:00,183,130,0.7103825136612022,0,,24,49,
2007-08-06 00:00:00,2007-08-06 00:00:00,90,62,0.68888888888888888,0,0,0,50,
2007-07-06 00:00:00,2007-07-06 00:00:00,149,98,0.65771812080536918,0,0,16,50,
2014-07-17 00:00:00,2014-07-17 00:00:00,130,54,0.41538461538461541,0,0,10,50,
2010-07-31 00:00:00,2010-07-31 00:00:00,139,87,0.62589928057553956,0.01,0,0,50,1
2008-06-27 00:00:00,2008-06-27 00:00:00,109,84,0.77064220183486243,0,0,121,51,
2010-08-13 00:00:00,2010-08-13 00:00:00,132,83,0.62878787878787878,0,0,0,51,
2010-08-02 00:00:00,2010-08-02 00:00:00,68,51,0.75,0,0,0,51,
2013-07-03 00:00:00,2013-07-03 00:00:00,99,67,0.6767676767676768,0,0,43,51,
2009-05-23 00:00:00,2009-05-23 00:00:00,129,91,0.70542635658914732,0,0,141,51,
2010-07-22 00:00:00,2010-07-22 00:00:00,145,96,0.66206896551724137,0,0,9,51,
2015-06-12 00:00:00,2015-06-12 00:00:00,141,99,0.7021276595744681,0,0,0,51,
2011-08-26 00:00:00,2011-08-26 00:00:00,122,83,0.680327868852459,0,,0,52,
2011-07-05 00:00:00,2011-07-05 00:00:00,111,67,0.60360360360360366,0,0,132,52,
2012-07-06 00:00:00,2012-07-06 00:00:00,226,151,0.668141592920354,0,,98,52,
2009-06-26 00:00:00,2009-06-26 00:00:00,181,97,0.53591160220994472,0,0,75,52,
2007-07-09 00:00:00,2007-07-09 00:00:00,90,74,0.82222222222222219,0,0,0,52,
2012-08-03 00:00:00,2012-08-03 00:00:00,127,91,0.71653543307086609,0,0,0,52,
2007-07-24 00:00:00,2007-07-24 00:00:00,99,71,0.71717171717171713,0.01,0,0,52,
2014-07-09 00:00:00,2014-07-09 00:00:00,79,67,0.84810126582278478,0,0,47,52,
2013-06-16 00:00:00,2013-06-16 00:00:00,115,89,0.77391304347826084,0,0,86,53,
2008-07-24 00:00:00,2008-07-24 00:00:00,130,109,0.83846153846153848,0,0,42,53,
2011-07-18 00:00:00,2011-07-18 00:00:00,111,89,0.80180180180180183,0.07,0,102,53,
2008-07-17 00:00:00,2008-07-17 00:00:00,163,140,0.85889570552147243,0,0,57,53,
2013-07-29 00:00:00,2013-07-29 00:00:00,96,74,0.77083333333333337,0,0,0,53,
2008-07-15 00:00:00,2008-07-15 00:00:00,87,51,0.58620689655172409,0,0,64,54,
2014-07-01 00:00:00,2014-07-01 00:00:00,115,76,0.66086956521739126,0,0,79,54,
2006-07-01 00:00:00,2006-07-01 00:00:00,162,118,0.72839506172839508,0,0,27,55,
2011-07-25 00:00:00,2011-07-25 00:00:00,115,82,0.71304347826086956,0,0,88,55,
2013-07-07 00:00:00,2013-07-07 00:00:00,132,94,0.71212121212121215,0,0,34,55,
2013-07-24 00:00:00,2013-07-24 00:00:00,103,54,0.52427184466019416,0,0,0,55,
2008-07-11 00:00:00,2008-07-11 00:00:00,188,141,0.75,0,0,78,55,
2011-07-02 00:00:00,2011-07-02 00:00:00,208,82,0.39423076923076922,0,,140,55,
2014-08-16 00:00:00,2014-08-16 00:00:00,107,62,0.57943925233644855,0.01,0,0,55,
2013-07-20 00:00:00,2013-07-20 00:00:00,184,102,0.55434782608695654,0,0,0,55,
2010-07-21 00:00:00,2010-07-21 00:00:00,118,75,0.635593220338983,0,0,11,56,
2013-07-26 00:00:00,2013-07-26 00:00:00,189,102,0.53968253968253965,0,0,0,56,
2012-07-11 00:00:00,2012-07-11 00:00:00,116,67,0.57758620689655171,0,0,70,56,
2010-07-16 00:00:00,2010-07-16 00:00:00,230,158,0.68695652173913047,0,0,32,57,
2013-06-28 00:00:00,2013-06-28 00:00:00,154,78,0.50649350649350644,0.02,0,58,57,
2011-08-12 00:00:00,2011-08-12 00:00:00,196,136,0.69387755102040816,0,0,38,57,
2014-07-07 00:00:00,2014-07-07 00:00:00,134,107,0.79850746268656714,0,0,57,57,
2012-08-11 00:00:00,2012-08-11 00:00:00,128,93,0.7265625,0,0,0,57,
2011-07-30 00:00:00,2011-07-30 00:00:00,172,107,0.622093023255814,0,0,68,57,
2006-08-05 00:00:00,2006-08-05 00:00:00,184,143,0.77717391304347827,0,0,0,57,
2013-07-25 00:00:00,2013-07-25 00:00:00,132,86,0.65151515151515149,0,,,57,
2015-07-17 00:00:00,2015-07-17 00:00:00,152,94,0.618421052631579,0,0,0,57,
2011-08-04 00:00:00,2011-08-04 00:00:00,77,49,0.63636363636363635,0,0,50,57,
2014-07-27 00:00:00,2014-07-27 00:00:00,99,82,0.82828282828282829,0,0,0,57,
2012-08-14 00:00:00,2012-08-14 00:00:00,76,54,0.71052631578947367,0,0,0,57,
2008-07-14 00:00:00,2008-07-14 00:00:00,83,62,0.74698795180722888,0,0,68,58,
2015-07-14 00:00:00,2015-07-14 00:00:00,137,89,0.64963503649635035,0,0,0,58,
2013-07-18 00:00:00,2013-07-18 00:00:00,134,56,0.417910447761194,0,,,58,
2013-07-21 00:00:00,2013-07-21 00:00:00,173,99,0.5722543352601156,0,0,0,58,
2015-06-05 00:00:00,2015-06-05 00:00:00,126,96,0.76190476190476186,0,,,58,
2014-07-11 00:00:00,2014-07-11 00:00:00,215,138,0.641860465116279,0,,27,59,
2006-06-24 00:00:00,2006-06-24 00:00:00,166,120,0.72289156626506024,0,0,63,59,
2010-07-17 00:00:00,2010-07-17 00:00:00,184,82,0.44565217391304351,0,0,27,59,
2010-07-06 00:00:00,2010-07-06 00:00:00,107,75,0.7009345794392523,0,0,68,59,
2012-07-07 00:00:00,2012-07-07 00:00:00,180,99,0.55,0,,90,59,
2013-07-09 00:00:00,2013-07-09 00:00:00,99,49,0.494949494949495,0,0,24,59,
2006-07-09 00:00:00,2006-07-09 00:00:00,104,88,0.84615384615384615,0,0,8,59,
2009-05-22 00:00:00,2009-05-22 00:00:00,78,66,0.84615384615384615,0,0,158,59,
2012-08-13 00:00:00,2012-08-13 00:00:00,93,75,0.80645161290322576,0,0,0,59,
2011-08-20 00:00:00,2011-08-20 00:00:00,118,78,0.66101694915254239,0,,10,59,
2012-07-14 00:00:00,2012-07-14 00:00:00,132,86,0.65151515151515149,0,0,56,59,
2006-07-08 00:00:00,2006-07-08 00:00:00,137,110,0.8029197080291971,0,0,10,60,
2008-07-25 00:00:00,2008-07-25 00:00:00,126,94,0.746031746031746,0,0,36,60,
2013-07-23 00:00:00,2013-07-23 00:00:00,90,51,0.56666666666666665,0,0,0,60,
2010-07-10 00:00:00,2010-07-10 00:00:00,209,102,0.48803827751196172,0,0,51,60,
2008-07-26 00:00:00,2008-07-26 00:00:00,130,108,0.83076923076923082,0,0,36,60,
2012-08-10 00:00:00,2012-08-10 00:00:00,148,110,0.7432432432432432,0,0,0,60,
2010-07-15 00:00:00,2010-07-15 00:00:00,161,111,0.68944099378881984,0,0,36,60,
2013-07-19 00:00:00,2013-07-19 00:00:00,247,144,0.582995951417004,0,0,0,60,
2008-07-20 00:00:00,2008-07-20 00:00:00,113,90,0.79646017699115046,0,0,42,60,
2014-07-14 00:00:00,2014-07-14 00:00:00,137,111,0.81021897810218979,0,0,0,60,
2010-07-07 00:00:00,2010-07-07 00:00:00,135,89,0.65925925925925921,0,0,63,61,
2014-07-08 00:00:00,2014-07-08 00:00:00,98,78,0.79591836734693877,0,0,49,61,
2010-07-29 00:00:00,2010-07-29 00:00:00,131,82,0.62595419847328249,0,0,0,61,
2015-07-18 00:00:00,2015-07-18 00:00:00,141,94,0.66666666666666663,0,0,0,61,
2012-08-04 00:00:00,2012-08-04 00:00:00,125,108,0.864,0,0,0,61,
2015-07-06 00:00:00,2015-07-06 00:00:00,131,84,0.64122137404580148,0,0,0,62,
2008-08-07 00:00:00,2008-08-07 00:00:00,76,51,0.67105263157894735,0,0,3,62,
2007-08-02 00:00:00,2007-08-02 00:00:00,130,77,0.59230769230769231,0,0,0,62,
2009-08-02 00:00:00,2009-08-02 00:00:00,105,76,0.72380952380952379,0,0,0,62,
2008-08-04 00:00:00,2008-08-04 00:00:00,130,84,0.64615384615384619,0,0,15,62,
2009-08-03 00:00:00,2009-08-03 00:00:00,92,76,0.82608695652173914,0,0,0,63,
2014-07-15 00:00:00,2014-07-15 00:00:00,115,74,0.64347826086956517,0,,16,63,
2007-06-01 00:00:00,2007-06-01 00:00:00,76,56,0.73684210526315785,0,0,98,63,
2010-07-25 00:00:00,2010-07-25 00:00:00,128,109,0.8515625,0,0,0,63,
2015-06-29 00:00:00,2015-06-29 00:00:00,121,80,0.66115702479338845,0.09,,,63,
2014-07-28 00:00:00,2014-07-28 00:00:00,129,91,0.70542635658914732,0,0,0,63,
2015-07-03 00:00:00,2015-07-03 00:00:00,186,93,0.5,0,0,0,63,
2010-08-14 00:00:00,2010-08-14 00:00:00,107,62,0.57943925233644855,0,0,0,63,
2014-08-01 00:00:00,2014-08-01 00:00:00,143,115,0.80419580419580416,0,,,63,
2014-08-04 00:00:00,2014-08-04 00:00:00,132,84,0.63636363636363635,0,0,0,63,
2006-06-25 00:00:00,2006-06-25 00:00:00,96,76,0.79166666666666663,0,0,57,64,
2010-07-27 00:00:00,2010-07-27 00:00:00,109,71,0.65137614678899081,0,0,0,64,
2010-07-24 00:00:00,2010-07-24 00:00:00,170,107,0.62941176470588234,0,0,1,65,
2010-07-23 00:00:00,2010-07-23 00:00:00,197,135,0.68527918781725883,0,0,5,65,
2012-07-08 00:00:00,2012-07-08 00:00:00,119,80,0.67226890756302526,0,0,81,65,
2015-07-20 00:00:00,2015-07-20 00:00:00,82,101,1,0,0,0,65,
2012-07-19 00:00:00,2012-07-19 00:00:00,131,76,0.58015267175572516,0,,30,65,
2014-08-02 00:00:00,2014-08-02 00:00:00,115,89,0.77391304347826084,0,,,66,
2009-08-01 00:00:00,2009-08-01 00:00:00,150,99,0.66,0,0,0,66,
2010-07-30 00:00:00,2010-07-30 00:00:00,184,90,0.4891304347826087,0,0,0,66,
2006-06-30 00:00:00,2006-06-30 00:00:00,105,86,0.819047619047619,0,0,33,66,
2008-07-12 00:00:00,2008-07-12 00:00:00,147,106,0.72108843537414968,0,0,74,66,
2014-07-12 00:00:00,2014-07-12 00:00:00,168,125,0.74404761904761907,0,,25,66,
2006-07-21 00:00:00,2006-07-21 00:00:00,200,165,0.825,0,0,0,67,
2006-07-02 00:00:00,2006-07-02 00:00:00,118,77,0.652542372881356,0,0,25,67,
2015-07-02 00:00:00,2015-07-02 00:00:00,98,49,0.5,0,0,0,67,
2014-07-13 00:00:00,2014-07-13 00:00:00,93,83,0.89247311827956988,0,0,22,67,
2010-07-09 00:00:00,2010-07-09 00:00:00,200,141,0.705,0,0,56,68,
2015-07-08 00:00:00,2015-07-08 00:00:00,65,49,0.75384615384615383,0,0,0,68,
2015-06-26 00:00:00,2015-06-26 00:00:00,193,84,0.43523316062176159,0,,,68,
2006-07-23 00:00:00,2006-07-23 00:00:00,119,101,0.84873949579831931,0,0,0,69,
2012-08-05 00:00:00,2012-08-05 00:00:00,96,75,0.78125,0,0,0,69,
2006-08-19 00:00:00,2006-08-19 00:00:00,98,62,0.63265306122448983,0,0,0,69,
2015-08-01 00:00:00,2015-08-01 00:00:00,114,62,0.543859649122807,0,,,70,
2006-07-22 00:00:00,2006-07-22 00:00:00,116,92,0.7931034482758621,0,0,0,70,
2010-07-08 00:00:00,2010-07-08 00:00:00,117,87,0.74358974358974361,0,0,59,70,
2008-08-15 00:00:00,2008-08-15 00:00:00,136,86,0.63235294117647056,0,0,0,72,
2007-07-12 00:00:00,2007-07-12 00:00:00,113,56,0.495575221238938,0,0,0,72,
2013-07-01 00:00:00,2013-07-01 00:00:00,119,91,0.76470588235294112,0,0,47,75,
2011-04-15 00:00:00,2011-04-15 00:00:00,5,0,0,,,,,
2015-04-19 00:00:00,2015-04-19 00:00:00,10,0,0,0,0,,,
2014-05-05 00:00:00,,7,0,0,,,,,
2008-05-19 00:00:00,2008-05-19 00:00:00,47,0,0,,0,,,
2008-10-25 00:00:00,2008-10-25 00:00:00,3,0,0,,0,,,
2014-05-08 00:00:00,,4,0,0,,,,,
2014-04-29 00:00:00,,2,0,0,,,,,
2006-05-30 00:00:00,2006-05-30 00:00:00,7,0,0,0,0,,,
2013-10-25 00:00:00,2013-10-25 00:00:00,9,0,0,0,0,,,
2010-04-25 00:00:00,,2,0,0,,,,,
2015-04-20 00:00:00,2015-04-20 00:00:00,6,0,0,0,0,,,
2013-02-10 00:00:00,,3,0,0,,,,,
2013-09-27 00:00:00,,24,0,0,,,,,
2015-05-12 00:00:00,2015-05-12 00:00:00,12,0,0,,,,,
2013-03-27 00:00:00,,3,0,0,,,,,
2013-04-06 00:00:00,,7,0,0,,,,,
2008-10-10 00:00:00,2008-10-10 00:00:00,5,0,0,,0,0,,
2010-04-30 00:00:00,,5,0,0,,,,,
2010-05-09 00:00:00,,13,0,0,,,,,
2010-05-04 00:00:00,,3,0,0,,,,,
2013-10-18 00:00:00,2013-10-18 00:00:00,2,0,0,0,0,,,
2012-09-27 00:00:00,2012-09-27 00:00:00,5,0,0,0,,,,
2011-03-03 00:00:00,2011-03-03 00:00:00,2,0,0,,,,,
2010-04-14 00:00:00,,2,0,0,,,,,
2011-03-22 00:00:00,2011-03-22 00:00:00,2,0,0,,,,,
2008-10-11 00:00:00,2008-10-11 00:00:00,16,0,0,,0,0,,
2013-09-04 00:00:00,,42,0,0,,,,,
2010-03-26 00:00:00,,6,0,0,,,,,
2006-09-12 00:00:00,2006-09-12 00:00:00,2,0,0,0,0,0,,
2015-09-15 00:00:00,2015-09-15 00:00:00,9,0,0,,,,,
2013-04-21 00:00:00,,2,0,0,,,,,
2013-04-02 00:00:00,2013-04-02 00:00:00,2,0,0,0,0,165,,
2007-04-25 00:00:00,2007-04-25 00:00:00,12,0,0,,0,,,
2010-04-15 00:00:00,,3,0,0,,,,,
2011-05-12 00:00:00,,7,0,0,,,,,
2014-05-02 00:00:00,,3,0,0,,,,,
2013-12-28 00:00:00,,5,0,0,,,,,
2015-10-15 00:00:00,2015-10-15 00:00:00,2,0,0,,,,,
2013-04-29 00:00:00,2013-04-29 00:00:00,12,0,0,0.52,2,181,,
2008-09-24 00:00:00,2008-09-24 00:00:00,14,0,0,0,0,0,,
2014-05-07 00:00:00,,9,0,0,,,,,
2008-10-18 00:00:00,,3,0,0,,,,,
2008-10-24 00:00:00,2008-10-24 00:00:00,7,0,0,,0,,,
2010-03-24 00:00:00,,0,0,0,,,,,
2010-04-16 00:00:00,,4,0,0,,,,,
2010-04-12 00:00:00,,28,0,0,,,,,
2008-09-23 00:00:00,2008-09-23 00:00:00,2,0,0,0,0,0,,
2014-03-26 00:00:00,,2,0,0,,,,,
2012-06-23 00:00:00,,93,0,0,,,,,
2012-01-07 00:00:00,,2,0,0,,,,,
2013-10-17 00:00:00,2013-10-17 00:00:00,2,0,0,0,0,,,
2015-05-11 00:00:00,2015-05-11 00:00:00,33,0,0,,,,,
2015-04-13 00:00:00,2015-04-13 00:00:00,15,0,0,0,0,,,
2015-04-26 00:00:00,2015-04-26 00:00:00,2,0,0,0,0,,,
